frame.time_relative,ip.src,ip.dst,frame.len,ip.proto
"2.749210110","172.217.29.138","10.0.2.15","60","6"
"2.750005863","10.0.2.15","172.217.29.138","224","6"
"2.750132754","10.0.2.15","172.217.29.138","670","6"
"2.750389089","172.217.29.138","10.0.2.15","60","6"
"2.750389244","172.217.29.138","10.0.2.15","60","6"
"2.758981912","172.217.29.138","10.0.2.15","668","6"
"2.758982194","172.217.29.138","10.0.2.15","85","6"
"2.759009561","10.0.2.15","172.217.29.138","54","6"
"2.759142513","10.0.2.15","172.217.29.138","54","6"
"2.768574037","10.0.2.15","172.217.29.138","85","6"
"2.769092563","172.217.29.138","10.0.2.15","60","6"
"2.770982567","10.0.2.15","34.107.243.93","193","6"
"2.771393649","34.107.243.93","10.0.2.15","60","6"
"2.814294380","172.217.29.138","10.0.2.15","4527","6"
"2.814294567","172.217.29.138","10.0.2.15","2934","6"
"2.814350712","10.0.2.15","172.217.29.138","54","6"
"2.814627734","172.217.29.138","10.0.2.15","2822","6"
"2.814932967","172.217.29.138","10.0.2.15","4374","6"
"2.817963525","10.0.2.15","172.217.29.138","54","6"
"2.818319760","172.217.29.138","10.0.2.15","4374","6"
"2.818347746","10.0.2.15","172.217.29.138","54","6"
"2.818688662","172.217.29.138","10.0.2.15","11182","6"
"2.818739246","10.0.2.15","172.217.29.138","54","6"
"2.820553823","172.217.29.138","10.0.2.15","5702","6"
"2.820980174","10.0.2.15","172.217.29.138","54","6"
"2.821019630","172.217.29.138","10.0.2.15","2878","6"
"2.821019714","172.217.29.138","10.0.2.15","1466","6"
"2.821019743","172.217.29.138","10.0.2.15","4290","6"
"2.821043437","10.0.2.15","172.217.29.138","54","6"
"2.821272515","172.217.29.138","10.0.2.15","2878","6"
"2.821310404","10.0.2.15","172.217.29.138","54","6"
"2.821855955","172.217.29.138","10.0.2.15","2147","6"
"2.821896873","10.0.2.15","172.217.29.138","54","6"
"2.863900533","172.217.29.138","10.0.2.15","4290","6"
"2.863900837","172.217.29.138","10.0.2.15","2878","6"
"2.863900891","172.217.29.138","10.0.2.15","1466","6"
"2.863900912","172.217.29.138","10.0.2.15","5702","6"
"2.863919655","172.217.29.138","10.0.2.15","1466","6"
"2.864189784","10.0.2.15","172.217.29.138","54","6"
"2.867065775","172.217.29.138","10.0.2.15","4290","6"
"2.867065918","172.217.29.138","10.0.2.15","17334","6"
"2.867078178","10.0.2.15","172.217.29.138","54","6"
"2.867129438","10.0.2.15","172.217.29.138","54","6"
"2.867550019","172.217.29.138","10.0.2.15","12949","6"
"2.867592995","10.0.2.15","172.217.29.138","54","6"
"2.911894576","172.217.29.138","10.0.2.15","98","6"
"2.911894873","172.217.29.138","10.0.2.15","2878","6"
"2.911894915","172.217.29.138","10.0.2.15","2878","6"
"2.911894948","172.217.29.138","10.0.2.15","2878","6"
"2.911894979","172.217.29.138","10.0.2.15","2878","6"
"2.911924750","10.0.2.15","172.217.29.138","54","6"
"2.911975014","10.0.2.15","172.217.29.138","54","6"
"2.912014998","10.0.2.15","172.217.29.138","54","6"
"2.912050385","10.0.2.15","172.217.29.138","54","6"
"2.912056516","172.217.29.138","10.0.2.15","5814","6"
"2.912060102","10.0.2.15","172.217.29.138","54","6"
"2.914876150","172.217.29.138","10.0.2.15","1354","6"
"2.914876372","172.217.29.138","10.0.2.15","9938","6"
"2.914897964","10.0.2.15","172.217.29.138","54","6"
"2.914958400","172.217.29.138","10.0.2.15","4290","6"
"2.914958467","172.217.29.138","10.0.2.15","17334","6"
"2.914966257","10.0.2.15","172.217.29.138","54","6"
"2.914968330","10.0.2.15","172.217.29.138","54","6"
"2.915451951","172.217.29.138","10.0.2.15","36694","6"
"2.915462653","10.0.2.15","172.217.29.138","54","6"
"2.915774418","172.217.29.138","10.0.2.15","13014","6"
"2.915781560","10.0.2.15","172.217.29.138","54","6"
"2.916048642","172.217.29.138","10.0.2.15","8694","6"
"2.916055420","10.0.2.15","172.217.29.138","54","6"
"2.917204970","172.217.29.138","10.0.2.15","20814","6"
"2.917213110","10.0.2.15","172.217.29.138","54","6"
"2.917252305","172.217.29.138","10.0.2.15","15586","6"
"2.917258107","10.0.2.15","172.217.29.138","54","6"
"2.917395860","172.217.29.138","10.0.2.15","2878","6"
"2.917401562","10.0.2.15","172.217.29.138","54","6"
"2.919805681","172.217.29.138","10.0.2.15","2878","6"
"2.919805969","172.217.29.138","10.0.2.15","2934","6"
"2.920996151","10.0.2.15","172.217.29.138","54","6"
"2.921051399","10.0.2.15","172.217.29.138","54","6"
"2.921192238","172.217.29.138","10.0.2.15","11294","6"
"2.921316250","10.0.2.15","172.217.29.138","54","6"
"2.921504745","172.217.29.138","10.0.2.15","11350","6"
"2.921512146","10.0.2.15","172.217.29.138","54","6"
"2.921731617","172.217.29.138","10.0.2.15","51894","6"
"2.921779676","10.0.2.15","172.217.29.138","54","6"
"2.921995299","172.217.29.138","10.0.2.15","4374","6"
"2.922001268","10.0.2.15","172.217.29.138","54","6"
"2.922844888","172.217.29.138","10.0.2.15","15906","6"
"2.922876198","10.0.2.15","172.217.29.138","54","6"
"2.922869692","172.217.29.138","10.0.2.15","26882","6"
"2.922907026","10.0.2.15","172.217.29.138","54","6"
"2.922919080","172.217.29.138","10.0.2.15","11574","6"
"2.922921049","10.0.2.15","172.217.29.138","54","6"
"2.923154259","172.217.29.138","10.0.2.15","11574","6"
"2.923160658","10.0.2.15","172.217.29.138","54","6"
"2.924235064","172.217.29.138","10.0.2.15","2430","6"
"2.924235166","172.217.29.138","10.0.2.15","33942","6"
"2.924279921","10.0.2.15","172.217.29.138","54","6"
"2.925609097","172.217.29.138","10.0.2.15","4290","6"
"2.925609240","172.217.29.138","10.0.2.15","1494","6"
"2.926399479","10.0.2.15","172.217.29.138","54","6"
"2.926728200","172.217.29.138","10.0.2.15","9910","6"
"2.926728319","172.217.29.138","10.0.2.15","1466","6"
"2.926735251","10.0.2.15","172.217.29.138","54","6"
"2.926782117","172.217.29.138","10.0.2.15","31118","6"
"2.926789244","10.0.2.15","172.217.29.138","54","6"
"2.926807693","172.217.29.138","10.0.2.15","7114","6"
"2.926807732","172.217.29.138","10.0.2.15","11574","6"
"2.926812015","10.0.2.15","172.217.29.138","54","6"
"2.926813910","10.0.2.15","172.217.29.138","54","6"
"2.927099833","172.217.29.138","10.0.2.15","4066","6"
"2.927105877","10.0.2.15","172.217.29.138","54","6"
"2.927485294","172.217.29.138","10.0.2.15","17334","6"
"2.927791549","10.0.2.15","172.217.29.138","54","6"
"2.927831167","172.217.29.138","10.0.2.15","8694","6"
"2.927836491","10.0.2.15","172.217.29.138","54","6"
"2.928166217","172.217.29.138","10.0.2.15","20214","6"
"2.928173664","10.0.2.15","172.217.29.138","54","6"
"2.928463156","172.217.29.138","10.0.2.15","9042","6"
"2.928463219","172.217.29.138","10.0.2.15","2934","6"
"2.929473633","10.0.2.15","172.217.29.138","54","6"
"2.930005065","10.0.2.15","172.217.29.138","54","6"
"2.930328400","172.217.29.138","10.0.2.15","48006","6"
"2.930344837","10.0.2.15","172.217.29.138","54","6"
"2.930594575","172.217.29.138","10.0.2.15","17334","6"
"2.930607714","10.0.2.15","172.217.29.138","54","6"
"2.930676651","172.217.29.138","10.0.2.15","1494","6"
